magnitude,longitude,latitude
0.63,-112.876,38.4925
3.59,-64.0933,19.1153
1.23,-117.0551667,34.3146667
4.9,-82.756,4.6982
0.66,-119.020668029785,37.6446647644043
1.9,-104.112,31.564
0.33,-119.020835876465,37.6443328857422
1.76,-120.573165893555,35.2594985961914
2.8,-117.1303,37.736
2.81,-121.306663513184,36.6585006713867
0.64,-119.019996643066,37.644832611084
5.1,124.565,-0.1858
2.2,-103.788,31.975
0.61,-116.2906667,33.0375
0.7,-117.217,37.7854
0.3,-116.9675,37.5921
1.45,-112.6515,38.1571666666667
1.51,-122.776168823242,38.7921676635742
1.5,-101.691,32.438
3.27,-67.5138333333333,17.6645
0.6,-117.8896,37.5737
1.2,-119.5954,38.7056
1.49,-122.713836669922,38.780834197998
1.59,-121.497001647949,37.0543327331543
4.5,154.4504,48.5055
2.3,-117.1396,37.7451
2.1,-117.1134,37.7671
1.29,-116.4638333,34.4206667
0.4,-117.2389,37.7679
1.99,-155.240005493164,19.3945007324219
1.9,-155.239833333333,19.3886666666667
0.5,-117.1483,37.7432
2.19,-155.494995117188,19.1714992523193
0.3,-117.3387,37.8157
0.83,-122.832496643066,38.8113327026367
3.1,-149.9427,61.5086
0.95,-112.877333333333,38.4966666666667
1.49,-121.706336975098,37.3456649780273
1.1,-117.1283,37.754
1.74,-117.0531667,33.4283333
1.62,-121.799835205078,37.8348350524902
0.68,-116.3226667,33.5126667
6.2,144.2508,-3.487
1.9,-104.416,31.672
1.5,-101.926,31.773
0.66,-122.731666564941,38.7613334655762
0.73,-122.811996459961,38.8375015258789
0.4,-117.1318,37.7383
0.8,-117.1386,37.7409
1.29,-112.873666666667,38.4983333333333
1,-115.7376,36.6332
1.6,-117.1424,37.7218
1.5,-104.509,31.625
0.9,-117.1474,37.733
0.85,-122.84366607666,38.8209991455078
0.9,-117.1313,37.7509
1.82000005,-155.478500366211,19.4400005340576
1.3,-117.1444,37.7461
1.2,-117.0314,37.6513
1.92,-155.185333251953,19.3735008239746
1.3,-117.1329,37.7094
1.4,-151.3228,61.7928
1.8,-117.1485,37.7416
0.94,-116.9535,33.8378333
0.8,-117.1013,37.7762
0.9,-122.809829711914,38.8354988098145
0.3,-115.7346,36.646
1.35,-121.802665710449,37.8339996337891
1.4,-117.1102,37.749
2.22,-155.50016784668,19.1720008850098
2.01,-155.232498168945,19.3101673126221
1.5,-117.1398,37.74
0.8,-117.1334,37.7465
1.4,-117.1039,37.7686
2.2,-103.488,31.876
0.8,-116.8277,37.3583
0.8,-117.1964,37.6979
0.7,-117.2298,37.6788
0.46,-117.895,35.9748333
1.6,-117.1408,37.7369
1.85000002,-155.171493530273,19.3373336791992
1,-117.1413,37.734
0.6,-116.8286,37.3603
1.49,-112.3135,38.2543333333333
1.11,-123.467,48.47866666666667
1.1,-117.1451,37.766
1.23,-118.732333333333,37.4151666666667
1.6,-117.1444,37.7302
1,-117.1303,37.7415
1.6,-117.146,37.7401
1.7,-101.389,32.408
0.9,-117.1808,37.7312
2.2,-117.143,37.7436
1.8,-117.1372,37.7421
4.3,-179.5877,51.4889
1.4,-117.1016,37.7815
1.8,-148.0953,64.0728
1.3,-117.0757,37.7988
0.4,-115.7277,36.6382
0.9,-116.7864,37.4298
2.01999998,-155.462661743164,19.1464996337891
3.1,-117.1402,37.7369
1.72,-155.18733215332,19.3706665039062
2.9,-117.1427,37.737
0.93,-122.01266666666666,45.422333333333334
1.76,-122.384,45.791666666666664
2.9,-103.96,31.606
2,-144.9524,60.6329
1.74,-122.54416666666667,45.090666666666664
1.1,-117.1246,37.7499
1.7,-103.484,31.876
0.6,-117.2847,37.7382
0.9,-117.1315,37.7473
1.9,-149.3977,63.184
2.1,-103.486,31.878
0.55,-117.5333333,35.6896667
1.2,-117.1351,37.736
0.9,-117.0521,37.7371
0.9,-117.1346,37.7461
1,-117.1592,37.7306
0.7,-117.1444,37.7328
1.9,-117.1495,37.7329
0.5,-116.5567,37.2879
2.6,-117.1396,37.7425
2.27,-155.469833374023,19.1461658477783
1.69,-155.3695,19.1395
1.43,-119.15283333333333,46.1645
1.9,-147.6244,61.1847
1.3,-117.1378,37.7389
0.8300000000000001,-123.558,42.888
2.17000008,-155.477172851562,19.1593341827393
0.66,-123.60433333333333,48.08283333333333
1.39,-117.5206667,33.5625
0.6,-116.9852,37.7083
1.03,-123.65283333333333,43.20433333333333
0.74,-122.810501098633,38.7948341369629
0.28,-122.811500549316,38.7944984436035
5.3,165.8972,-10.76
0.42,-112.881833333333,38.504
1.72,-122.810997009277,38.7943344116211
1.09,-116.9408333,34.1878333
2.59,-121.30883026123,36.6645011901855
0.41,-110.687,44.7896666666667
