magnitude,longitude,latitude
1.2,-116.4998322,33.5135002
1.82,-117.918335,36.4198341
1.14,-117.1106667,33.75
2.13,-117.9186667,36.4158333
2.3,-117.1404,37.7291
1.4,-117.1032,37.7731
2.2,-103.387,31.278
1.2,-116.9083,37.6299
1.2,-117.1586,37.7257
0.79,-122.733329772949,38.7856674194336
1.07,-112.8795,38.4993333333333
1.29,-115.5363333,32.9251667
4.6,55.8005,14.7383
1.56,-121.747169494629,36.9830017089844
1.13,-122.733665466309,38.7854995727539
1.3,-117.1363,37.7385
0.02,-112.874666666667,38.4966666666667
1.8,-117.1367,37.7481
0.6,-117.0378,37.8299
1.4,-117.1471,37.7335
1.4,-117.1255,37.7523
3.2,-117.1468,37.7435
1.8,-149.0461,62.316
1.28,-122.717498779297,38.7751655578613
1.5,-151.4729,62.1147
0.62,-112.883,38.4971666666667
1.4,-119.0793333,35.0715
2.31,-116.5739975,33.2938347
0.72,-122.779830932617,38.7929992675781
-0.1,-115.9605,36.6283
0.75,-112.249833333333,38.4463333333333
1.1,-118.3508333,35.0526667
0.87,-112.87,38.5038333333333
1.09,-122.752502441406,38.7765007019043
1.9,-152.1552,61.0828
3.93,-64.415,19.4983
2.2,-153.5221,60.0777
5.2,-178.9542,-32.8304
0.71,-112.873666666667,38.5068333333333
1.08,-116.8593369,32.8660011
0.77,-121.350997924805,36.8486671447754
1.03,-122.844329833984,38.8223342895508
2,-147.3314,60.9387
1.5,-103.983,31.611
1.8,-104.125,31.696
1.88999999,-155.488327026367,19.1935005187988
0.8,-115.5454,36.5358
1.24,-116.4653333,34.4195
1.21,-112.2425,38.4393333333333
1.8,-115.7336,36.6379
3.3,-67.2441666666667,18.9996666666667
2.1,-150.6494,63.0585
2,-158.0627,56.4463
0.76,-122.80583190918,38.8273315429688
0.59,-116.2703333,32.98
1.1,-117.1404,37.7465
2,-149.8949,61.5431
1.5,-117.1513,37.7342
0.63,-112.8765,38.4906666666667
2.1,-151.5178,61.2959
1.8,-104.017,31.558
1.6,-104.315,31.606
1.3,-116.3176667,33.8751667
1.3,-152.2179,65.8812
1.6,-149.8284,61.0378
1.06,-118.1958333,34.0928333
1.6,-103.983,31.611
1.41,-119.0685,35.0883333
1.65,-122.818664550781,38.8308334350586
1.41,-116.4023333,33.4071667
1.56,-121.265335083008,36.6376647949219
0.38,-122.860496520996,38.8089981079102
4.6,70.3052,36.0222
